,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
205,bing,False,GreyScale,,,alexnet,google,30/70,0.87950003,0.8207946,0.971,0.88960147
206,bing,False,GreyScale,,,alexnet,google,40/60,0.89350003,0.84730804,0.96,0.9001407
207,bing,False,GreyScale,,,alexnet,google,50/50,0.90900004,0.8902672,0.933,0.9111329
208,bing,False,GreyScale,,,resnet,google,20/80,0.84700006,0.76651305,0.998,0.8670721
209,bing,False,GreyScale,,,resnet,google,30/70,0.93700004,0.89799637,0.986,0.93994284
210,bing,False,GreyScale,,,resnet,google,40/60,0.94650006,0.9200376,0.978,0.94813377
211,bing,False,GreyScale,,,resnet,google,50/50,0.95350003,0.93816423,0.971,0.9542998
212,bing,False,GreyScale,,,vgg,google,20/80,0.94250005,0.90263873,0.992,0.94521195
213,bing,False,GreyScale,,,vgg,google,30/70,0.95100003,0.92070895,0.987,0.95270276
214,bing,False,GreyScale,,,vgg,google,40/60,0.95800006,0.9378585,0.981,0.9589443
215,bing,False,GreyScale,,,vgg,google,50/50,0.96550006,0.96503496,0.966,0.9655172
216,bing,False,InvertColor,,,alexnet,bing,20/80,0.776,0.8909348,0.629,0.7373974
217,bing,False,InvertColor,,,alexnet,bing,30/70,0.73,0.8833333,0.53,0.66249996
218,bing,False,InvertColor,,,alexnet,bing,40/60,0.731,0.9325843,0.498,0.6492829
219,bing,False,InvertColor,,,alexnet,bing,50/50,0.716,0.9153846,0.476,0.6263158
220,bing,False,InvertColor,,,resnet,bing,20/80,0.808,0.8422222,0.758,0.7978947
221,bing,False,InvertColor,,,resnet,bing,30/70,0.791,0.91930836,0.638,0.7532468
222,bing,False,InvertColor,,,resnet,bing,40/60,0.6905,0.9242762,0.415,0.5728088
223,bing,False,InvertColor,,,resnet,bing,50/50,0.754,0.93793106,0.544,0.68860763
224,bing,False,InvertColor,,,vgg,bing,20/80,0.80450004,0.86998785,0.716,0.78551847
225,bing,False,InvertColor,,,vgg,bing,30/70,0.79600006,0.91573036,0.652,0.7616822
226,bing,False,InvertColor,,,vgg,bing,40/60,0.7325,0.9659319,0.482,0.6430954
227,bing,False,InvertColor,,,vgg,bing,50/50,0.74850005,0.9542962,0.522,0.6748546
228,bing,False,InvertColor,,,alexnet,ddg,20/80,0.8025,0.83648497,0.752,0.7919957
229,bing,False,InvertColor,,,alexnet,ddg,30/70,0.78000003,0.8943662,0.635,0.74269
230,bing,False,InvertColor,,,alexnet,ddg,40/60,0.74950004,0.91376454,0.551,0.68746096
231,bing,False,InvertColor,,,alexnet,ddg,50/50,0.76150006,0.8874074,0.599,0.71522385
232,bing,False,InvertColor,,,resnet,ddg,20/80,0.7975,0.8606061,0.71,0.7780822
233,bing,False,InvertColor,,,resnet,ddg,30/70,0.8015,0.9276596,0.654,0.7671554
234,bing,False,InvertColor,,,resnet,ddg,40/60,0.72550005,0.93957114,0.482,0.63714474
235,bing,False,InvertColor,,,resnet,ddg,50/50,0.80700004,0.9514706,0.647,0.77023804
236,bing,False,InvertColor,,,vgg,ddg,20/80,0.845,0.8893905,0.788,0.8356309
237,bing,False,InvertColor,,,vgg,ddg,30/70,0.82000005,0.9359673,0.687,0.7923876
238,bing,False,InvertColor,,,vgg,ddg,40/60,0.72550005,0.97473687,0.463,0.62779665
239,bing,False,InvertColor,,,vgg,ddg,50/50,0.75000006,0.9734849,0.514,0.67277485
240,bing,False,InvertColor,,,alexnet,google,20/80,0.80750006,0.8443449,0.754,0.7966191
